"a_o","c_digo_municipio","municipio","c_digo_departamento","departamento","c_digo_etc","etc","poblaci_n_5_16","tasa_matriculaci_n_5_16","cobertura_neta","cobertura_neta_transici_n","cobertura_neta_primaria","cobertura_neta_secundaria","cobertura_neta_media","cobertura_bruta","cobertura_bruta_transici_n","cobertura_bruta_primaria","cobertura_bruta_secundaria","cobertura_bruta_media","tama_o_promedio_de_grupo","sedes_conectadas_a_internet","deserci_n","deserci_n_transici_n","deserci_n_primaria","deserci_n_secundaria","deserci_n_media","aprobaci_n","aprobaci_n_transici_n","aprobaci_n_primaria","aprobaci_n_secundaria","aprobaci_n_media","reprobaci_n","reprobaci_n_transici_n","reprobaci_n_primaria","reprobaci_n_secundaria","reprobaci_n_media","repitencia","repitencia_transici_n","repitencia_primaria","repitencia_secundaria","repitencia_media"
"2023","05002","Abejorral","05","Antioquia","3758","Antioquia (ETC)","3634","74.38","74.38","50.55","74.32","63.78","40.95","81.54","65.93","87.91","83.4","69.68",,,"4.15","3.33","2.86","6.36","3.03","88.08","0.56","89.88","82.7","92.56","7.77","0.56","7.26","10.93","4.41","9.07","1.67","10.28","11.32","2.2"
"2023","05004","Abriaquí","05","Antioquia","3758","Antioquia (ETC)","503","62.62","62.62","44.19","63.33","51.53","40.23","66.8","58.14","72.86","66.87","56.32",,,"1.19","0","1.31","0","4.08","92.26","0","96.73","83.49","93.88","6.55","0","1.96","16.51","2.04","9.52","0","10.46","13.76","2.04"
"2023","05021","Alejandría","05","Antioquia","3758","Antioquia (ETC)","864","81.37","81.37","61.45","73.21","77.74","73.08","85.19","75.9","79.31","90.88","96.15",,,"3.26","1.59","1.67","6.02","2.4","88.86","0","91.3","80.32","95.2","7.88","0","7.02","13.65","2.4","7.2","1.59","7.69","11.65","0"
"2023","05030","Amagá","05","Antioquia","3758","Antioquia (ETC)","5060","78.3","78.3","67.65","76.96","65.61","38.82","89.21","84.69","88.94","94.72","81.27",,,"4.33","4.37","3.12","6.32","3.04","84.95","0","87.25","77.2","91.46","10.71","0","9.63","16.48","5.5","12.08","0.29","11.54","18.48","3.98"
"2023","05031","Amalfi","05","Antioquia","3758","Antioquia (ETC)","5762","70.95","70.95","58.13","65.29","59.85","32.71","79.47","74.61","81.78","85.23","64.29",,,"2.6","1.49","2.37","2.63","4.63","87.43","1.79","87.96","84.67","87.92","9.96","1.79","9.68","12.7","7.46","10.41","2.39","14.87","8.46","2.83"
"2023","05034","Andes","05","Antioquia","3758","Antioquia (ETC)","7672","80.9","80.9","61.59","76.57","67.41","37.05","91.44","76.03","93.59","99.84","76.9",,,"4.85","5.01","3.99","6.28","3.9","87.26","0.84","89.09","81.51","92.7","7.89","0.84","6.91","12.21","3.4","11.81","2.09","12.92","14.98","4.4"
"2023","05036","Angelópolis","05","Antioquia","3758","Antioquia (ETC)","1017","81.32","81.32","62.96","79.19","72.51","44.32","99.8","80.25","91.15","111.99","105.68",,,"4.48","3.08","4.31","5.96","1.8","88.1","0","93.26","77.48","94.59","7.42","0","2.43","16.56","3.6","11.31","1.54","10.51","18.54","0"
"2023","05038","Angostura","05","Antioquia","3758","Antioquia (ETC)","2401","69.26","69.26","43.59","67.67","56.49","42.96","76.8","59.49","81.78","78.37","69.6",,,"3.97","3.45","3.06","5.8","2.99","92.63","0","91.68","91.74","96.15","3.4","0","5.26","2.46","0.85","6.97","3.45","10.65","4.57","1.71"
"2023","05040","Anorí","05","Antioquia","3758","Antioquia (ETC)","4477","71.72","71.72","45.9","69.16","60.85","35.14","76.95","66.15","84.79","78.23","58.71",,,"6.07","2.33","4.72","9.11","5.38","90.21","0","91.42","87.13","89.24","3.72","0","3.86","3.77","5.38","5.81","2.33","7.35","5.69","2.2"
"2023","05042","Santafé de Antioquia","05","Antioquia","3758","Antioquia (ETC)","5023","94.33","94.33","76.87","87.61","80.36","50.65","102.23","91.54","103.04","114.11","81.42",,,"4.13","3.37","3.31","6.06","1.64","82.95","0","87.47","73.34","88.69","12.92","0","9.23","20.59","9.67","11.32","2.15","11.3","15.21","4.92"
